,,,Control 0h,,Control 4h,,Control 8h,,Day 1 0h,,Day 1 4h,,Day 1 8h,,Day 2 0h,,Day 2 4h,,Day 2 8h,,Day 3 8h,,Day 5 8h,,Day 7 0h,,Day 7 4h,,Day 7 8h,
Name,Name,,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE
Unknown 11,,,460198.2,35669.55298,570172.6,11619.08423,547926.4,44668.64089,589259.8,7654.215612,389005.8,13564.86287,530337.2,29664.72989,282368.6,19283.28705,163887.6,16512.31454,157072.6,17651.16288,2145830.4,1021561.215,26155898.2,523357.4582,1115027.2,56041.21979,,,523832.6,40236.04142
Unknown 12,,,3437596.6,127069.5498,56453743,21991834.3,4900097.8,268470.6241,2613536,100079.2108,3180200,240759.2668,5034863,259408.2116,2329270.4,78079.49644,1256917.8,88722.86116,1643091.8,77595.29034,3626122,325092.316,4106582.8,1027375.818,5364384.6,381691.6279,12222623,1267278.621,14786907.6,976442.033
Unknown 13,,,750699.2,32322.79465,1301598.4,78257.10827,1540132,103074.0205,384420.4,33668.39125,786719.8,9222.226122,1985042.25,26755.82866,2337028.4,1113662.944,542572,67762.11149,1277648.8,144657.0861,2886373,56811.93203,2718243.6,668856.929,5918248.4,69269.56187,14364968.67,1085597.518,11220661.2,500198.097
Unknown 14,,,50517.2,1034.151604,191693,4890.786317,,,,,660607,25844.01559,,,,,,,,,,,,,,,,,62046.4,2432.911334
Unknown 15,,,71134937.8,2662091.633,51989773.6,1218884.519,63833773.6,2337995.456,42640796.6,2079085.191,46810608.2,3799740.084,83702291.8,783735.8825,69270784.4,3514182.246,51437167,2775603.687,44245512.2,2211257.445,67675089.6,2120305.386,64759233,1274048.883,105227897.8,3139394.924,65304394.17,5638658.086,,
Unknown 16,,,4287248.6,258392.1182,3508986,210015.9265,4289062.2,149124.9812,2911912.8,91004.30607,3455040.8,327754.0311,5358594.4,84355.3082,4718980.2,54558.21245,2972948.2,254239.6448,2628444.8,66014.24183,4336869.8,138198.7915,3964908.2,91485.34384,7010533.4,171440.8082,5653919.833,235576.9375,,
Unknown 17,,,64762,3563.254467,59692.2,547.6591458,48171,769.8835626,,,3283527.6,137987.7323,,,97534.4,5853.617126,,,10914.28,599.619011,61208,863.1756484,39252,5710.843729,148224.8,11550.94991,131614.3333,18909.59884,,
Unknown 18,,,182275.4,9506.307646,109776.8,8446.792133,163346.4,14490.97702,156679.4,13367.14136,67512.6,2907.150815,101576.8,6657.818257,182618.6,2755.43856,24388,1207.361793,26524.6,1449.385373,61891.6,5786.607751,132472.4,8303.052533,47014.4,648.5475002,34985,1375.414216,71110.6,1485.811145
Unknown 19,,,,,146510,7486.139967,,,,,,,,,,,,,,,,,,,,,297603.8333,13661.2033,,
Unknown 2,,,79382000,4205081.255,109635667.8,3050174.015,102370450.4,2873901.794,430369982,205218990.4,75962189.2,16993145.74,3439602.6,154089.5655,96482345.8,3561220.424,,,49208113,697100.0853,81697506.4,3162067.19,80734789.8,1664304.8,,,,,,
Unknown 20,,,210439.2,4487.312541,347509.6,45940.7572,293731.8,22611.68442,80214.2,2258.93903,391835.8,258477.2671,203689.4,4710.429414,212733.6,24163.50191,221706.8,17130.07149,177258.4,13389.176,235086.8,22341.12891,235712.8,10613.92024,588551.6,24247.9255,454632.3333,29302.47417,210167,35469.84585
Unknown 21,,,24859.8,594.0826037,48109.2,6531.053701,30862.2,2410.311192,,,60467.8,6027.560862,,,29372.2,542.2872302,,,7527.38,170.8810826,,,20029,713.6204173,89836.6,830.6248612,177611.6667,26423.33281,,
Unknown 22,,,66203.8,2431.524777,115197.8,5401.194797,109242.2,7191.936543,54118.4,3605.63532,44200.2,2117.741046,62675.6,3007.896152,189153.4,114998.1454,60621.4,5749.9099,39507.8,4874.996086,64670.8,5282.776102,70834.6,4211.452809,174346.8,6137.204188,172452.1667,8383.072362,56732.8,3463.731274
Unknown 23,,,4737956.4,377133.1215,7327369.8,483385.7588,8106668,528888.505,2800415,126234.4096,3419876,166068.7293,6133391.6,253549.6642,4532490.4,180220.2027,3460942.6,337915.3107,2351509,397755.9181,2609339.6,110216.312,2473289.6,173768.7251,7575280.8,523270.1819,6015835.833,425227.3138,2077161.8,58291.88045
Unknown 24,,,1776022.8,84413.38985,2277061.2,137037.0958,2644164.2,148944.9298,1398525.2,71424.96807,1410092,159157.4492,1776710.4,105095.2034,1550318.6,103270.4411,730430.8,68517.80219,1367972.4,501339.893,1212645,60464.27562,1528134.2,136735.362,2799207.2,238660.6313,1356411.167,312887.9776,746504.6,48498.2446
Unknown 25,,,272354.6,13200.6929,763989.2,42280.33582,629021.4,115831.3665,356131,18180.34574,738018.8,161667.0626,591139,47895.48258,517179.2,37795.72245,,,,,443024.8,42472.90706,,,1474761,71422.598,,,154706.6,6216.374495
Unknown 26,,,,,300079,10820.50692,,#DIV/0!,14113.8,656.0165699,393725,7179.995947,,,,,,,,,,,,,57214.2,6866.232092,,,,
Unknown 27,,,2592223.2,100549.4202,2676018.2,55876.90143,3712232.2,233930.2796,652216.6,71029.53116,842394.6,48895.75478,3056466,222641.854,2430678.2,154354.0855,1444226.2,366498.6603,1163356.6,193912.2424,2036119.8,106163.4227,2937313.2,180348.4649,3968378,46049.27097,1716973.667,115716.4636,2385501,227718.9165
Unknown 28,,,403727.2,22684.8312,1098490.2,59849.55503,804468.2,27316.35529,666057.4,59430.75929,559747.8,59954.15031,438394.2,47477.321,513301.4,32020.68941,553856.2,40379.29972,494583.2,17206.03682,383542,16637.69752,440288.2,16597.15402,4319706.4,271782.4177,3756286.833,154926.3263,427125,13481.21314
Unknown 29,,,47327.4,3812.418558,59335.6,2312.188241,153397,9164.883431,14550.6,603.8465534,424942.8,7485.697191,83445.4,14247.76218,88890.2,1707.644003,,,28756.8,843.9097938,49921.4,3624.995112,180911.4,13259.86206,113325.6,4733.561815,122448.5,6108.18776,180568.6,5371.420497
Unknown 3,,,7669801.2,56479.97996,10292800.4,444728.656,9538826.2,148214.9415,7880000,178412.6529,9774798,393217.7043,7905988.2,31128.25528,7945513.4,150844.8832,,,6712750.4,86016.03953,7981535.8,80677.51795,7282034.4,116123.2617,,,,,,
Unknown 30,,,56898.2,1243.614828,98402.4,3654.329441,114680.6,3339.86291,49858.8,460.389661,137525,9717.505518,288037.2,13554.92622,224564.4,42161.84195,213742.6,23431.01619,227109.2,15473.38375,262407.2,45694.87394,265972,18816.63413,1237038.6,39722.48366,1257274.167,133170.9968,392548.6,48322.42071
Unknown 31,,,1102080.4,48881.57517,1476940.2,130447.4312,1473651,120629.65,665109.6,8486.066242,1148286.8,66959.63762,1057066.8,47586.04203,1112444.4,103921.5831,1211616.2,64048.47664,1342845,94107.30047,949694.8,101799.2638,1115224.4,100250.7673,2856505.4,188962.6109,6904533,1130713.608,1515570.8,72064.8036
Unknown 32,,,298032.6,9558.349113,470439.8,36753.79552,393431,54262.97488,195469.2,2502.924937,1240897,63487.48591,396077.8,42324.45988,517518.8,70314.33174,412472.6,36625.31216,562401.8,92156.47275,653602.2,17179.94843,1581753.4,83139.26804,1567795,93352.57117,3913468.167,375221.6378,871193,20662.3582
Unknown 33,,,,,110623.6,3083.888318,93512.8,5344.741447,,,200261.6,7474.725551,102332.6,4432.262646,,,,,164750.4,8508.292682,,,113679,4514.394655,404973.6,22314.6135,3374194.833,129833.8487,,
Unknown 34,,,,,163890.8,22293.94003,89870.6,5618.605642,,,83361.2,727.4179266,,,203414.2,7073.398981,,,,,159309.2,11673.69996,509899.8,28920.91295,1614337,113505.6442,1924683.333,87228.07649,318629,22505.00259
Unknown 35,,,,,,,,,,,,,695714.6,21642.82558,639143.4,4159.527925,767356.2,10802.24493,,,615213.4,5360.77162,,,,,,,,
Unknown 36,,,,,43408.4,1775.410786,,,,,,,195376.4,1760.361741,199579,6281.540504,132454.4,5002.963128,153357.8,7454.847238,183444.8,3615.122369,80023.4,875.0510042,195333.6,5051.653844,,,,
Unknown 37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown 38,,,78997,4212.647707,143546.6,10293.97139,130188.2,5334.806551,,,72475.2,4085.148081,188021,8224.145554,221812.6,38526.89363,113665.8,11028.68775,98413.2,3828.301966,114794.8,4128.892605,123808.6,9369.152702,307983.2,25132.9803,207755.8333,26620.09592,111548.6,5529.473642
Unknown 39,,,2850734,138420.1421,22929346.8,1107085.582,19515424.8,1489568.369,2976306,317218.0695,3736133.8,984543.2533,28713691.8,2070612.525,23097506.2,1400843.561,37781606.4,2344447.691,30531604.6,2925346.578,2134352.4,212839.9632,2222193.6,286142.2618,23025117.4,14413773.4,44133576.17,3118566.803,2193668.6,88321.36124
Unknown 4,,,786999,11283.01408,1608541.2,68767.05362,1534597.2,162775.2984,1626145.6,44891.02526,2635002,124458.8485,,,1860341.6,97027.63805,,,2231743.8,64664.29035,1723937.4,78736.19145,1449899.2,326248.3365,,,144992.1667,2840.897574,1439725.8,55128.88729
Unknown 40,,,185931.2,6830.212452,292289.2,12842.46453,276325.6,12740.59538,122811.2,6672.814124,158653.8,4917.58619,223327.6,10713.93063,201235.8,17731.35926,206057.2,10551.27897,173600.2,12372.9652,169016.8,7118.527013,188259.8,11042.55371,169697.8,12995.50965,318897.6667,26171.4598,175093.2,4387.245553
Unknown 41,,,8591031.2,267553.6855,14847464,176410.6785,18669728.4,492675.1408,7082518,323110.47,,,13378531.6,662480.1738,13710100,483797.7225,13201163,498504.6737,12752967.8,466123.4801,12698256.2,569296.1233,13275044.2,467501.1141,27677557.6,729614.9178,28120102.5,304203.4984,14846992,494005.126
Unknown 42,,,,,,,70855,4666.318174,9866.64,123.2081556,,,23168.8,1417.886081,27411.2,1787.758524,39484,1023.91943,26820.8,1261.899021,38659.2,2838.840721,40550.6,914.7631715,115554.8,6226.696423,140714.8333,4336.771175,23352,911.9729711
Unknown 43,,,140698.2,9714.932045,295007.8,26346.98847,211884.2,19086.91148,45503.6,1255.846591,61488.8,1859.156083,82012.6,2353.736702,110417,13518.40443,1641986.2,55617.27545,142393.8,7682.655266,154175.2,3777.506127,167016.4,7654.337265,174370.4,7861.312954,285948.3333,45685.00076,151047.2,8492.067383
Unknown 44,,,1507312,90537.87984,4246252.2,55374.04319,3235743.6,176317.9794,590384.8,30513.3232,1027787.8,83735.44685,1885454.4,209373.0369,1363258.2,55849.59345,2003666.4,243624.1031,1518382.8,100062.1356,1502948.6,62303.51799,1617437.6,49042.61852,1527408.4,44247.04993,1801562.5,245099.4694,667971.2,19008.72237
Unknown 45,,,396251,14785.71837,1736682.2,151212.4185,1465201.8,112346.3483,203971.8,12370.05296,276722,19308.90813,983918.4,89953.18943,996466.6,24213.20576,997508.4,233537.1543,998514,18410.90152,232382.2,12596.14934,433240.4,9422.91399,1164480.2,51059.0639,1675998.5,167140.1482,216402,6528.174599
Unknown 46,,,467124,17485.70313,953341.6,33871.4073,828272.2,50536.99085,283199.4,9316.046278,239737.2,39590.23273,686284.4,87953.98674,473777,32794.92261,253146.8,55756.26821,195992.8,7402.081568,436799.4,26500.55386,526618,34458.04452,1216614.8,41000.98199,476436.1667,34350.41189,455540.4,26042.17378
Unknown 47,,,,,111014.8,4175.112925,,,,,20378.2,703.4954442,42288.8,5156.266696,36342.8,1862.719877,901099.6,838765.6273,97376.6,2833.275641,23126.6,1422.780468,69285.2,2277.619995,594356.2,7717.387637,2484774.167,272490.0728,,
Unknown 49,,,83970,3527.351825,226546,26258.44208,186604.4,31647.80889,80818,735.7473072,84170.6,7457.758675,134239.6,13031.21967,97930.4,3605.679473,86503.6,8617.570833,108114.6,5051.039958,78282.2,4096.404514,104928.4,6550.402481,178796.8,3259.481177,500875,61052.2879,77733,7154.267936
Unknown 5,,,158795838.2,5541783.614,181972082.2,7248802.243,76801388.4,37104762.06,140465262,4933982.779,140421113.4,9548415.644,,,116458679.2,28349276.88,69574642.6,2721532.043,135752768.6,5670123.881,122058984.4,27123444.48,145198214.6,8077597.418,,,1602846.333,78237.38483,56121131.4,2818845.977
Unknown 50,,,,,128993.8,9518.753403,106923.6,7552.291881,,,,,80360.4,5498.22641,40571,929.7265727,,,,,,,52216.8,1031.781052,100260.2,2370.410922,164970.3333,10651.13117,52617,2224.143543
Unknown 51,,,184117.6,38031.77126,763814,116600.3282,586598.4,74866.82629,64941,4259.661372,146597.6,13097.57972,203253.4,10277.87304,193457.2,35104.26869,373997.4,5645.083371,185041.8,7474.524837,1210214.4,71620.70666,1243695.4,75939.91188,581922.8,10980.49426,1471530.333,60773.77166,1228892.4,98040.32336
Unknown 52,,,,,16865431.6,1158448.809,16407509.4,1269112.388,,,,,,,,,,,,,,,,,,,,,,
Unknown 53,,,75155.4,1176.330804,421915.8,12274.05412,459105.6,28486.51958,,,109141.6,6063.238504,265004,11987.56328,212638,17239.96415,167566.4,13713.6437,178162.4,4537.772632,113189.2,3930.972099,172161.2,11326.4666,290118.4,5718.096402,779444.6667,49708.47504,115226.2,4577.164225
Unknown 54,,,,,,,,,,,1381968.4,38159.74857,1968441.8,66290.51214,815143.6,8592.3475,994130.6,10291.73675,1126983.8,54285.16855,752268,16266.31142,821508,50211.70708,1238305.2,40137.10373,,,1431042.2,37371.53222
Unknown 55,,,2336770,58638.88233,3167713.2,238357.0469,3500210,167797.0379,,,,,484678.2,7190.865215,1377273.2,16985.46731,214313.4,14165.63732,241116.8,11738.47602,692173.8,384662.3889,1282022.2,66747.571,2995552,154712.924,5662276,741916.4689,1473260,151580.8442
Unknown 56,,,11417.8,506.2129394,52575,5044.027468,50643.4,4045.525412,41029,3087.935929,59509.4,5962.213243,670430,51003.13334,83746.6,9074.888757,158786.2,16893.80368,150847.2,4014.272118,343540.8,28868.64559,62301.4,2557.049874,,,,,87674.2,1364.029157
Unknown 57,,,43000.6,1775.072382,757480.4,46746.84467,152167.8,12279.83694,38146,977.7127901,81295.8,12554.68494,111314.8,5412.612654,109535.6,11732.99215,146477.4,12153.71861,101239.8,5212.298643,552139.2,179841.1068,1609502,103337.5814,3777033.6,82390.51682,3623544.333,728142.9011,1531194,31168.06387
Unknown 58,,,146472,8828.135403,677214.6,67927.87788,728886.8,54198.36646,,,228586.6,14644.95322,480906.2,53778.60296,339428.2,36945.05556,356221.2,35610.87183,416520,46388.76731,247491,41357.1777,478917.6,26206.69591,697685.8,18789.73443,1218581.5,232846.6848,228903.2,6382.153456
Unknown 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1578674.4,42759.09327
Unknown 7,,,238484.8,4745.470624,413022,13892.39397,315845.4,7136.162236,150430.8,1695.861297,170755.4,1804.926996,,,235054.4,20796.25785,,,,,170219,7372.003174,160054.8,10228.84643,,,,,172600.2,1048.457553
Unknown 8,,,2707176.2,55948.31953,4379404.2,353780.2124,3888140.4,181066.9249,2977996.8,444450.0059,3155810,119322.1272,2608442.4,42248.09722,,,1708456.8,44576.11537,198702.2,3878.39234,,,,,,,1570658,69103.62088,50747.4,678.8378746
Unknown 9,,,1905910.4,85439.66955,2306459.2,750767.0267,582741.6,92261.45153,2542534.8,113182.9206,3203865.8,337329.4384,2010058.6,94953.68115,1352313.8,45752.75034,2194818.6,58351.04226,1223771.6,56349.09952,2497919.6,129357.3363,1439093.2,57075.72634,631012.4,60016.50809,1484923.333,133990.9098,,
Valine_1245_2TMS,Valine,,2394504.2,128838.8144,1918872.8,354716.5266,1507828.4,192735.9914,545812.8,21662.3354,588604.8,45107.27836,1124051.6,43106.69571,580771,64003.81534,1200806,60143.07325,346981.8,39453.0189,1298772.2,105436.0307,964752.8,295325.119,1212923.2,63883.77735,582335.1667,47242.71843,355785.6,18026.7397
Xylose_1661_4TMS,Xylose,,1849668.4,141434.4153,7135536,711436.2548,5241466.8,426504.7204,1733103.4,143219.4753,1881412.2,67351.30157,2910227.4,255827.6041,2885486.2,413193.6965,3032969.8,234470.5479,2110169,119871.6628,2267930.8,239703.3519,3375773.6,231935.5907,8272128,93935.37418,9212256,252817.0176,3283124.6,134788.127
