,,,Control 0h,,Control 4h,,Control 8h,,Day 1 0h,,Day 1 4h,,Day 1 8h,,Day 2 0h,,Day 2 4h,,Day 2 8h,,Day 3 8h,,Day 5 8h,,Day 7 0h,,Day 7 4h,,Day 7 8h,
Name,Name,,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE
Cellobiose_2591_8TMS,cellobiose,,324477.8,8101.400301,311739.8,28255.44646,30406.2,610.5388931,,,530444.4,9549.562281,36601283.4,3700518.327,35727179.4,4447178.943,33279301.2,2326752.138,38882747.8,1949990.436,40675564,2488015.192,23157876.4,1484776.914,22985117,465461.845,16836958.67,1095982.618,20578248,4090875.176
"D-Gluconic acid, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, trimethylsilyl ester",D-Gluconic acid,,821818,79620.99371,1508480.4,45521.09782,1293816.8,44367.57083,621357.8,69481.2886,656592.8,31762.94165,846244.6,21693.49042,828998.8,29204.29717,644542.6,53572.15173,552558,72467.83841,678692.4,34873.48705,662750.2,67896.9199,1295253.4,75530.04003,2345157,296511.4776,573415.6,53742.08177
"D-Glycero-D-gulo-Heptonic acid, 2,3,5,6,7-pentakis-O-(trimethylsilyl)-,-lactone",D-Glycero-D-gulo-Heptonic acid,,1034489.2,44958.24657,1113993.6,85325.29527,1197387.6,179607.6824,453994.2,42248.69592,567194.75,30492.13055,1116287.6,66996.86144,951339.8,57276.96756,734129.6,25160.71464,603857.75,50728.5979,794031.4,28112.61435,1070901.4,316262.8733,1805452.8,119689.6918,683274,65598.2308,1084570,114166.5154
"Dichloroacetic acid, 6-ethyl-3-octyl ester",Dichloroacetic acid ,,224423.2,7683.079886,2140222.6,57430.19471,1939782.2,37489.11214,304937.4,54863.64177,370789.2,9788.84856,188503.4,48522.77363,70922,1830.093577,55068.4,2323.789784,110805,2867.638279,164323.8,9554.976418,148340,7426.084938,312291.6,5608.222371,,,173796.8,18464.23644
"D-Xylopyranose, 1,2,3,4-tetrakis-O-(trimethylsilyl)-",D-Xylopyranose,,3094735,681746.5538,21129520.4,2363996.681,13405632.6,2995081.703,1578877.2,174136.4522,7595877.4,522793.0694,11211421.6,1544918.669,19642303.8,1958534.934,19850219.6,927033.1877,17763158.8,837084.116,22931947.2,1720731.474,47219473,4491574.508,177641222.8,108975156.4,144420110.8,1935208.788,48510262.2,2132433.181
"Erythro-Pentonic acid, 2-deoxy-3,4,5-tris-O-(trimethylsilyl)-, trimethylsilyl ester",Isosaccharinic acid,,1807149.2,179039.7218,2812977.8,194265.5527,2599443,113699.4984,825058.4,130662.2305,852196.6,71256.79528,1031356.6,89744.11473,1166784.6,73443.73845,727602.6,39757.17335,661813.2,43914.98019,1369469.4,108908.597,1386797.6,89429.32857,1427215.2,72125.39419,1921683.833,268769.6564,1009335.8,92202.64007
Fructose_1763_5TMS,Fructose,,893006.4,114068.9834,3508252.6,354300.0761,3525034.2,483585.999,554592.4,32950.32188,1365608.2,201238.8106,3502869.2,498982.3948,2400029,587769.6265,1939989.2,390675.4504,2449076.4,174048.5532,1935411,248235.8297,3297559.2,820951.804,4148044.6,117880.115,17534108.17,1011425.216,3244759.6,546100.2766
Fructose_1763_5TMS:2,Fructose,,1909680.2,210916.7958,3597095.6,467785.659,3066201,215561.2413,1477299.2,108190.1198,1092997.2,210901.6042,1164553,131776.1425,1156316.2,201274.5933,1363113.4,88147.22294,1238826.6,111932.9051,2746144.2,155211.2455,2650509.6,252812.1544,3480602.8,274981.8129,6942943.5,1146954.289,2081042,187321.4614
Fructose_1763_5TMS:3,Fructose,,163483,11650.3739,284366.4,33926.12021,262085.2,21112.46887,79531.6,8155.689135,116006,5420.828664,101503.8,3345.864125,106620.8,7064.349697,82974.2,2404.308953,77192,4758.307188,205598.2,23341.42295,169086.8,20514.3187,202551.6,7718.565933,483548.3333,46387.93647,122203.2,8180.366651
Fructose_1763_5TMS:4,Fructose,,1519205.8,131558.5591,3182251.2,322315.9983,2830207.6,226436.0045,918629.8,41797.65472,1021284.8,137208.585,1294594.4,76349.07631,1172341.6,133606.6902,1116580.4,143011.5564,796432.8,85317.24171,1416776.4,114151.2804,1580704.6,169075.7148,3282523.8,416052.7372,3003262.833,184334.7299,1170598.8,85783.61649
