,,,Control 0h,,Control 4h,,Control 8h,,Day 1 0h,,Day 1 4h,,Day 1 8h,,Day 2 0h,,Day 2 4h,,Day 2 8h,,Day 3 8h,,Day 5 8h,,Day 7 0h,,Day 7 4h,,Day 7 8h,
Name,Name,,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE
Cellobiose_2591_8TMS,cellobiose,,275312263.8,60515204.44,1028505.2,121471.8125,14501540.33,10742416.84,538489.8,13623.75465,543629.8,79931.23276,32712677.2,783416.5955,36072214.6,1770126.207,35322010,2657365.142,35933194.6,1746263.09,41094477.4,2116805.129,40294947.6,2122376.999,37348087.6,9545896.801,10903713.2,4512865.436,35729370.4,4183486.626
"D-Gluconic acid, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-, trimethylsilyl ester",D-Gluconic acid,,815800.8,54346.63902,1497070,107361.3776,1429475.6,96442.4553,807550.4,19802.07863,845941.2,104223.0201,903881.8,16812.65095,998975.2,53817.81644,1198471.8,58977.60494,449078.6,41001.56754,785364.4,50904.13856,722032.6,25848.57265,1002186.4,60715.74034,982334.4,57279.63729,888802.8,109825.8491
"D-Glycero-D-gulo-Heptonic acid, 2,3,5,6,7-pentakis-O-(trimethylsilyl)-, lactone",D-Glycero-D-gulo-Heptonic acid,,688039.6,41392.30474,1619599.8,140265.9436,1417207.4,94710.31533,850596.2,44550.40435,852389,131992.8904,960841.6,41301.81546,858060.8,79861.23801,1147897.8,148762.3219,480942,79889.08175,963511.6,201882.9007,957078.4,67338.77528,713122.8,41703.84966,529673.8,8049.244644,525467.6,62428.37188
"Dichloroacetic acid, 6-ethyl-3-octyl ester",Dichloroacetic acid ,,213144.2,7650.763422,2105436.4,62293.32538,1975249.6,42983.48521,191880,12864.87233,293499,26940.67938,196624,5158.939271,72135.6,3744.068637,1627054,33801.8396,,,433600.4,10669.26158,316621.6667,84982.36777,2196679,346016.6132,2268258.8,290097.7768,369837.4,9041.922244
"D-Xylopyranose, 1,2,3,4-tetrakis-O-(trimethylsilyl)-",D-Xylopyranose,,6708181.2,372641.8773,19409115.6,3069549.916,23933537,4407973.345,3892262.8,360146.2609,8027473.8,700564.4932,11505074.8,1029782.045,37396940,21083993.09,34729819.8,3396742.028,12121401.8,1478074.588,18353525.2,1455065.162,36768389.2,3714599.835,82199406.6,6059322.481,77928837.8,2554276.231,46226778,4344805.348
"Erythro-Pentonic acid, 2-deoxy-3,4,5-tris-O-(trimethylsilyl)-, trimethylsilyl ester",Isosaccharinic acid,,2023887.8,126484.1138,2981415.2,214828.7267,2469758.2,386852.469,1100173.4,64522.06728,1141250.2,105252.7958,1109772.4,107709.1572,1221058,72260.5767,1565391.8,68338.57902,525218.8,39121.14592,1513662.8,34984.59813,1421286,49932.71151,1559342.8,77396.73796,1537109.2,103300.3537,1113074.8,125306.8216
Fructose_1763_5TMS,Fructose,,1082404.2,65620.65855,3827197.2,325362.3231,3924874.4,482578.5825,1192147.6,183713.5202,2125224.4,446873.5003,2778698.6,153583.8155,2195840.2,314698.6275,6605451,859646.0666,1555320.8,345175.9248,2883464.6,114717.4201,2658853.2,300328.5977,9448959.6,569179.1612,12622374.8,521051.3476,8406515.2,969237.4331
Fructose_1763_5TMS:2,Fructose,,2541465.2,213119.5586,4350481,484487.587,3997264,525172.3205,1050503.2,164462.9053,1378341.8,165269.3849,1387773.2,138849.3303,1232133.8,81174.54844,3178433.6,141994.3333,1098244.8,77890.93326,2694846.8,123575.7469,2746034.2,159597.7787,3772985.6,210052.1208,3774968.4,183914.3095,1641581.2,113152.6991
Fructose_1763_5TMS:3,Fructose,,180837,7441.412561,303284.4,21222.29865,210499,15195.56897,86057.2,5500.05184,104681.4,7309.928109,110821.2,5605.589027,115948,5680.958872,144196.4,9704.796786,87563.4,3594.485424,150250.2,6298.047812,151407.2,11986.84862,157502.6,8679.932814,179359.2,6323.725827,135919,2365.937024
Fructose_1763_5TMS:4,Fructose,,2429784.6,206783.1422,3325848,343811.8553,2433374.8,234737.2591,1235600.6,133525.5588,1150844.8,66131.90066,1128677.6,45787.05841,1468849,101689.6189,2049265,219102.1686,706355.2,61248.83882,1480411.2,60221.68036,1640209.8,139132.8596,1520220.2,150720.3989,1499768.2,99882.86975,1197244,123506.4818
