,,,Control 0h,,Control 4h,,Control 8h,,Day 1 0h,,Day 1 4h,,Day 1 8h,,Day 2 0h,,Day 2 4h,,Day 2 8h,,Day 3 8h,,Day 5 8h,,Day 7 0h,,Day 7 4h,,Day 7 8h,
Name,Name,,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE,Mean,SE
Threose_1819_3TMS,Threose,,1015667,188164.5382,7389600.6,2418229.294,4390620.2,1369387.292,1325078.8,67717.94751,1455654.8,241573.6686,2503134.4,824269.3404,2550875,918735.2671,1896524.4,251432.3106,412422.2,54305.28144,1413631,285234.4957,597594.4,43360.05236,2746069.2,1074745.038,1249102.8,118787.6502,660920.6,63628.13138
Threose_1840_3TMS,Threose,,2406314.4,189890.313,7344838.2,2914401.75,7800271.2,2247715.393,3589711.6,265646.5429,2795646.2,789569.9487,4293022.6,614347.206,5004105.4,874385.3286,5120346,458209.9975,1358322.4,263347.613,2884493.6,509404.4419,1356313.2,106087.9165,4513202,432339.6756,4480351.4,221821.0064,3537234.4,184937.2002
Trehalose_2614_8TMS,Trehalose,,297570.2,15865.95297,1275449.4,365533.3273,1067208,210491.2341,493055,82189.41179,589842.2,89667.22121,627038.2,40282.76913,708960,146146.7973,833576,84953.35984,1356553.2,243287.291,729400,84537.55361,512155.2,14796.77222,1609471.8,312182.1098,2097778.8,78477.49864,1618611.4,262153.511
Unknown 1,,,475863.8,7870.331247,,,,,381556.2,33487.47604,615002.2,18255.02996,521251.2,7410.498906,527003,12820.11048,,,393532.2,22207.07133,218616.6,4931.77421,,,90465.6,682.6548616,159712,5572.617949,,
Unknown 10,,,120223090.2,8949108.04,149891756.4,5167664.688,153397692.8,2283060.119,151160641.4,7854523.755,125247553.6,29102775.55,143855466.2,9462507.506,144982996.6,3802082.844,160162468.4,6008928.575,97110819.2,22707416.91,124568989.6,7800786.591,111743961.8,6541315.72,145029415.6,1982584.945,174721196.6,5476122.664,152730927.6,7837631.682
Unknown 11,,,690087.6,29698.3742,627303.4,52125.21817,,,317376,8719.279924,301882.6,16002.98913,294523.4,8294.514757,301710.4,10677.09271,10819818,604346.5949,282761.6,19399.06025,887560.6,30818.24878,759668,66223.79348,,,,,,
Unknown 12,,,4259473.6,180602.0495,42641545.6,23394094.55,89441758.8,2729564.582,2474351,176874.5272,2343313.4,265845.8962,2755359.2,277995.3868,2300934,77370.70344,2480013.8,89572.64894,2245434.4,128710.4818,8142692.6,529782.936,6480489.4,925282.9663,12828764.2,531978.0755,14853849,2416081.254,3180109.8,154648.22
Unknown 13,,,815505,6265.008524,1936835.4,58454.59047,,,611820.8,4075.297466,720784.8,98234.20516,1099983.8,128433.7703,1066546.4,95477.8443,,,3062417.8,167232.3162,4616940.8,60243.10887,1908937.6,80247.86467,8499685.2,125101.2705,11332676.4,344650.1101,10776090.4,490626.0907
Unknown 14,,,,,,,,,,,,,,,,,72603955.4,3063104.779,,,,,,,171871.6,4864.423559,,,,
Unknown 15,,,64406877.2,4587571.31,47733238.4,3381118.62,48846226.2,9759325.297,73325061.6,2537471.645,83651183.4,9469701.942,82908674.4,14745091.4,69190778,2089678.533,4869989.6,139070.1485,59483018,1952240.019,84814209.8,829737.0051,78259707.8,1068581.585,83798207.6,1883535.095,80627306.2,3893187.092,55692086.4,1931990.893
Unknown 16,,,4124175.2,272325.5059,3321723.6,218921.1223,3293572.8,650024.2035,4786249.4,118719.4921,4105501,213311.3874,16777026,11538081.85,4483955.8,134097.7258,87147.4,939.2298228,10189696.8,7001374.392,5373386.2,59265.16387,4899539.2,63877.20683,5312406,122004.2571,4732811,43551.61152,3482247,116208.0346
Unknown 17,,,117334.2,4012.264814,,,,,,,,,49497.6,643.0686278,,,225323.6,19421.29988,,,98096.6,6080.449725,,,107032.8,5214.638802,,,78732.2,1259.400548
Unknown 18,,,114383.2,10463.62252,256076.2,23610.15178,236702.4,16583.43398,193761.4,24641.0106,154542,17060.01253,79322.6,4464.381554,109124.2,11854.98382,280875.2,51691.92932,50050.6,3247.849359,104312.6,10152.84901,105498.2,5922.783344,206720.2,16365.58196,151770.2,14313.04913,88282.8,2571.922032
Unknown 19,,,228513.8,8496.722853,392252.8,23317.44368,,,262651.6,20848.41239,193398.4,9970.448283,194397.6,5326.948025,,,2546409.4,331532.9499,,,134019,3440.778022,184614.4,3844.231114,297955.2,4902.482834,182072.6,2737.465554,108423.2,3578.185523
Unknown 2,,,114735891,5952921.733,,,,,88876912.6,6277818.325,,,112309721,3035724.201,105273156.2,2122769.014,262336.6,36329.64566,,,59463450,14672255.91,73633026.2,799790.6882,1382597,121603.7739,1139326.6,24491.77499,405969.2,18610.57358
Unknown 20,,,195014.2,21075.42525,407741.8,55273.00804,363028,39329.26117,218793.6,15023.8722,195996.8,35674.6107,231753.8,24779.16917,218271.8,22865.45701,59326,1946.575891,133284.4,6366.013192,242197.4,17498.49354,226504.2,12752.1725,414268.6,27475.02948,389819.8,35630.82134,221581.8,12289.1748
Unknown 21,,,40552.4,1036.984214,68612.4,13467.38717,76139.6,18918.27922,,,,,20955.8,1330.943402,37933.2,3114.222269,93735,11298.24713,166661.6,7316.169309,24784.4,408.6479659,,,77792.8,1635.060959,98739.6,5237.157068,65055.2,2904.44059
Unknown 22,,,72391.2,2928.857207,146597.2,11905.83058,124067,9420.956708,64920.4,2912.127154,64642,5091.808687,60488.4,4907.343147,62919.4,2752.976146,9184222.6,360060.8954,33629.8,4638.078626,62775.4,3373.619816,64433.6,3337.928603,103679,5979.250379,103989.8,5739.858146,57091.8,4666.165979
Unknown 23,,,4344273.8,165714.223,7170192.2,1889720.204,8806420.4,824193.463,5238706.4,264092.206,3947628.4,487441.2841,3964616,618762.1208,5455118.6,319918.0476,3106082.4,215959.511,2337839.8,55657.53761,3981266,288852.9141,4099789,160865.1024,6301774.4,553171.5857,6923419.2,257860.4184,5350840.8,252125.2087
Unknown 24,,,1219823.6,39387.78126,4851109.8,1273778.69,2709896.8,141075.5016,1923969.6,128909.3298,2320564.4,713535.2901,2050532.2,564611.081,1819124.4,62610.4205,650961.2,77997.67657,956048.6,232309.7649,1283073.6,35999.46729,1335721.2,23198.04822,2288471.2,109683.2265,2181988,202487.5104,1281821,24530.63085
Unknown 25,,,416725.2,44913.16797,759646,113056.7024,635020.4,83266.63633,539578.8,60254.44586,520949,61344.56904,904602.2,43067.68983,640079.6,109065.5983,,,451387.8,40131.81783,293819.4,19899.16402,217866.2,9795.990136,426765.2,14549.46979,625937.6,21530.95057,706613.2,19472.30562
Unknown 26,,,,,,,,,,,,,,,,,3185258.6,453114.1901,,,,,,,181785.6,1838.486269,882998,28812.89214,,
Unknown 27,,,2455057.2,209536.7394,2548129.4,186642.9661,2927744.2,566111.2958,2061440,210170.2021,1246260.6,119686.4351,1925316.6,108642.534,2589202,195394.4157,673291.6,81491.29557,1766122.4,50583.74331,3328680.2,100422.1371,5274871.2,384850.0393,5105433.6,513524.2944,4200668.4,557451.1732,1933224,159401.6816
Unknown 28,,,406755,47548.27193,734387.2,224862.1969,699497.4,132630.95,413717,13633.06725,491237.4,72799.45252,470367.4,37789.14342,470538,35511.15542,432205.6,19106.39242,365736.2,18842.5388,445932,16443.82296,295328.4,15788.18344,517731.2,117324.4998,262058.6,34777.00634,424232.6,64553.5953
Unknown 29,,,59884.4,1998.499902,202601,43411.62762,202598.8,15469.76252,36069.8,701.9446844,25458.2,2094.179682,28409.4,1170.406451,68798.6,12579.52692,,,,,236030,12961.15663,179433.4,32670.66742,1035053.8,47762.76868,1107215.2,144048.5729,653887,57680.07973
Unknown 3,,,8428556.2,71237.34688,,,,,7940006.6,70117.19822,,,9671145.8,252370.7654,8555895.6,105871.6266,333277.4,7945.466019,,,7341220.8,124294.3702,,,,,122257.6,6078.808219,,
Unknown 30,,,72917,1320.295384,134299.2,13056.51896,146131.8,20377.26104,58559.8,3362.669615,102011.8,10411.76577,214595.8,39504.60045,211964.4,11874.50082,1241980.8,63595.65832,191687.4,19505.83809,402593.6,21892.59366,330171.8,14140.26203,617361.6,19789.90458,873097,30137.67366,480925.8,31109.85556
Unknown 31,,,784114.4,64446.15213,1488899.8,215452.2306,1558244.4,286829.5491,731642.6,16092.77392,648883.2,32105.48174,1130815.8,90351.08783,1062364.4,69829.52742,568891,15696.19945,744421.8,170387.0249,1259908.8,115993.4347,808921.4,136792.3308,1535026.2,65273.4593,1805459.6,80392.31038,1417292,146244.8523
Unknown 32,,,227674.4,17953.82822,623622.2,81173.75502,368302.6,10322.69545,269726.2,16419.67265,333928.6,85535.50355,346215.8,9463.032175,443429,37220.03916,151990.6,4547.951293,577173.8,156624.2149,797613.2,33683.02547,729109.2,50804.64494,3256462.4,363301.7264,4744940.8,524896.9009,4767114.2,335947.2728
Unknown 33,,,,,,,,,,,,,,,,,235843.4,30248.68233,246906.2,5889.92159,145177,4333.006589,,,234623.4,4758.35779,,,,
Unknown 34,,,583536.4,12758.58306,508469,119672.7127,217646.2,4690.281467,,,,,,,,,893145.6,24306.94857,148931.2,2538.04132,242603,4830.17685,275583.4,6605.943609,1144641.6,116915.0423,794250,59332.65207,487260.6,19617.33059
Unknown 35,,,,,,,,,19948,#DIV/0!,#DIV/0!,#DIV/0!,699005,6145.11768,697343.2,18156.11794,142691.6,17971.1174,600915,4754.02988,,,,,,,276716.6,7497.12582,197474.6,2160.446449
Unknown 36,,,,,,,,,,,,,196144.2,2853.970382,,,,,150468.4,4345.670841,134986.4,11384.16295,175774.4,7251.966613,,,#DIV/0!,#DIV/0!,106451,2923.82915
Unknown 37,,,,,,,,,,,,,,,,,227350.8,5182.482401,118584.8,7093.382666,,,,,,,#DIV/0!,#DIV/0!,,
Unknown 38,,,88492,3475.459034,127864.6,7836.388509,123571,19641.60608,127651.2,3209.51511,116924.8,7049.023559,150899,14588.24458,240663.4,12602.76199,19886047.4,2673400.831,88425.4,7725.494758,148013.6,11733.99537,165620.4,13752.99875,390780.6,9612.909781,236656.2,7505.893827,125444,12520.05113
Unknown 39,,,5170761.2,388603.1596,20914186.8,3306838.731,29177127,6204811.138,19683399.8,3499922.204,16082207.4,3315631.452,19663412.8,2788172.473,16501366.8,1243625.87,,,10567403,624144.4673,4244759.6,506493.4369,6696043.8,830974.4222,16305059.4,1934166.16,17095684,1537532.935,5231843.2,812175.6362
Unknown 4,,,1007348.8,25328.59345,,,,,1667614.4,35216.32439,#DIV/0!,#DIV/0!,2496673,610074.1411,1916008.4,54134.43161,220382.6,13651.51531,,,1927683.8,89922.55544,,,,,#DIV/0!,#DIV/0!,,
Unknown 40,,,174285.4,11225.11093,,,254050.6,18113.12101,167506.4,8075.687931,166482,19181.73135,186962.8,11228.88594,169628.2,14760.58894,14655647,666621.1548,117347,6015.154919,169406.4,5996.409022,194054.6,3108.78934,242965.6,5276.19769,193514.4,7798.916467,147146.6,10493.96336
Unknown 41,,,11233092.6,880495.3013,,,,,11288573.6,212641.8545,16424281,732790.1544,12983706.6,388835.7282,11858399.8,604081.9446,37811.8,2124.708531,7861710.4,451775.4637,11589462.8,586807.2623,12770693,312035.4616,18903233,544853.1914,18497720.2,678226.1477,15328489.6,577313.1238
Unknown 42,,,,,,,75920.6,8867.28465,30719,671.0045454,#DIV/0!,#DIV/0!,,,27765.4,1369.316786,184388.6,22675.82229,26072.4,2469.951064,38869.6,1642.430139,56107.8,1861.820813,77284.8,2121.7807,62182.6,2429.586685,30887.8,2684.857937
Unknown 43,,,112676.8,6995.477328,230040.4,27748.56382,208201.2,34637.42045,60112,444.5674302,63276,5226.531728,86690.6,9245.90633,88916.6,9405.484653,2377557.6,149014.5941,43671.2,4812.886643,176823,11411.37567,198754.8,12121.83205,216361.4,22637.07426,216645.6,31204.75187,109865,3368.861781
Unknown 44,,,1421606.8,124444.2553,3723398.8,335742.2403,4026951.4,814749.9272,1192938.6,41958.51628,1162758.6,129849.73,1425687,122810.2237,1000346.2,93156.85004,1140474.4,171995.6543,391661.4,58063.00408,1547506.8,112321.4281,2052480.2,65116.3271,2831982.8,224950.443,2996968.4,410599.6018,515546.4,22685.0136
Unknown 45,,,421829.4,4820.305173,1498029.4,192390.8698,2298039.4,704880.9828,850057.6,23522.25038,664750.4,129142.2531,747283.4,147555.1327,639230.6,46279.22316,858183,187188.0395,494519.2,45092.05607,442829.2,51168.33957,599857,58155.34199,1491116.6,117375.9105,1275414.8,97006.26199,714426.6,38158.414
Unknown 46,,,298385.4,68181.54222,1024629.4,141922.6875,1068947.8,168758.7689,403482.6,24141.5061,567926.4,143623.8541,573147.6,65983.29568,499840.8,51947.93891,144156.8,5893.186824,159393.4,6898.187346,513882,33381.39309,624728.2,71099.74084,1569595.8,200046.8856,973873,83710.27834,696229.4,205111.2829
Unknown 47,,,,,131579.5,6374.835535,,,,,,,31117,2064.041109,52691,10337.04243,170608,7160.377385,127327,5864.181912,63228.6,2809.247508,25457.8,4523.888232,189024.8,19126.30579,433759.6,58356.18295,199093,11473.15432
Unknown 49,,,122633.8,5254.028829,193875.6,12449.1416,181927,22681.81113,89260,5136.932918,79304,5965.410288,119754.6,3334.469052,127021,8553.721927,15311048.4,369994.3653,81140.4,5565.261554,91969.6,3977.451491,91219.2,2957.471562,160819.2,13185.73233,184828,13718.26384,100357.4,6599.030577
Unknown 5,,,150729144.4,4471352.13,,,,,116613581.8,26203073.22,7946717.2,75211.56783,165087535.8,4392951.23,152289729,3162465.297,228395.4,20670.13988,,,124188042.2,21466032.2,117491707.2,6015902.111,18302724.8,762381.2949,42610701.4,705949.4681,34914328,566000.842
Unknown 50,,,69612.2,4876.886788,236326,36255.79225,210600.8,23738.34317,,,,,,,102715.6,9462.134139,858209.6,55037.55619,,,67769.2,3137.685236,30530.6,746.4226417,509601.8,288782.6609,234644,21780.27287,120005.6,10640.07378
Unknown 51,,,800105.8,355400.744,889815.6,147269.1257,525897.8,44714.69773,96848,5780.533963,139298.4,11581.85394,,,257199.4,33123.4247,13984762.8,453243.5369,,,1142131.8,56129.61677,1054083.6,80951.15876,3468539.6,1623229.986,1369833.2,100745.3688,816888,53188.39391
Unknown 52,,,,,15845787.2,997773.6995,16180079.2,587833.7928,,,,,,,,,841645.8,38545.50427,,,,,,,11488700,3175979.814,14603534.4,1281658.291,,
Unknown 53,,,136750,9479.877278,590392,54681.74592,500818.8,48539.57067,380427.2,250628.8766,97639,6001.167153,204084.4,17564.81596,200231.8,17902.18936,236405191.6,66310058.6,,,156185.6,13703.32962,218335.8,8799.496119,913558.8,255465.7967,690770.4,61146.27921,271754.8,20050.39628
Unknown 54,,,,,1767071.6,20862.03647,,,,,,,962110.8,42272.33909,1113846.6,130524.4373,2996040.6,111247.604,307736328.2,16015671.89,824219.6,9444.317501,711000.8,23254.78126,70878714.8,69964666.23,2506318.6,87520.27679,1435038.8,94848.90249
Unknown 55,,,2409984.6,173789.6475,5384346.4,517019.7879,4074839.4,602538.7884,7965210.8,196090.767,369202.4,9072.626878,1489626.2,502338.8101,1519522.8,170327.5018,270804,36840.33536,494565.8,58458.56889,12447634,4699709.801,12134776.8,461860.1439,5779179,580415.3939,13020252.4,7429169.074,3156266,300580.3866
Unknown 56,,,31778.6,707.643738,62774.4,12392.37669,51175,7006.029517,79200.8,9673.225922,48980.4,12095.25421,517615.4,50624.00229,85147.2,10965.44992,207493.2,10356.29667,156428.5,10839.85801,279060.8,29940.15929,54916.6,2772.908123,150579.8,11807.46322,189337.2,5198.489544,86984.6,3783.776283
Unknown 57,,,46454.6,1298.765321,96529.75,10444.35422,182811,44925.95697,39231.2,5278.005413,48080.2,6157.560486,56792.2,6324.382985,78610.4,21352.42446,973512.2,125483.2776,46204.6,5070.722834,184624.8,18503.25287,4126087.8,2689494.864,1462826.8,91635.91384,1614870.4,181710.7026,1170260,30411.52562
Unknown 58,,,477008,41705.6414,858326.4,201077.8965,768624.4,125639.303,199961,19978.91798,183613.4,22779.89774,377086.6,50032.25334,403644.8,57277.29305,,,219131,4430.38724,344070,19419.6088,338047.4,45114.60586,870442.4,77808.19214,918229.2,91317.46523,568014.2,26450.39076
Unknown 6,,,,,,,,,,,,,818747,73581.15206,451541.2,7397.305708,,,,,905363.8,14965.08673,,,,,,,,
Unknown 7,,,255406.8,4430.626371,,,,,250282.4,26522.20197,260535,#DIV/0!,206695.4,27104.70838,280695,10634.97919,3815658.8,92817.6779,,,198518,8381.305024,,,,,,,,
Unknown 8,,,3107117,101370.6537,4635996.2,71271.38211,3727714,396011.7163,,,,,,,,,560345.8,55015.54306,,,1827003.6,27444.05859,5070373.6,3240143.022,3220807.6,327428.0685,4364732.4,231466.225,3597261.6,222125.4456
Unknown 9,,,1111726.2,503137.6164,2466136.6,644072.041,1609357,684845.8329,1631444.4,53141.45054,971953.6,25119.10845,1717906.4,38378.83083,1516607,9316.956848,1128287.8,18985.5581,249629.8,6153.99443,2216226.8,132796.7565,989825.8,365337.5338,3069149,143283.2366,2986456.8,563456.1237,477032.8,13496.45103
Valine_1245_2TMS,Valine,,1585992.6,99533.76973,1717226.8,221912.1728,1035641.2,167327.7065,726857,63713.98061,871953.2,99248.45553,804557.8,79864.35028,736694.6,51512.46797,5576669.2,651743.732,724559.6,39561.38378,1170255.2,94561.07966,1522937,391635.348,1152699.6,63417.13422,1129332.6,66209.93967,875116.4,30267.1557
Xylose_1661_4TMS,Xylose,,2168854.8,153376.1668,6783697.8,280807.0385,6258428.8,1046797.967,2436937.2,312337.7274,3694064.2,524586.2698,3937059.2,202449.4239,3318337.8,494061.8458,3746884.6,221282.0143,1471685.6,299647.4126,3185103.8,78171.33895,3193071.6,194795.0705,5848908,431373.6505,5145128.4,80612.10111,3254137,260977.1311
